node,R,G,B
2147,11.571428571428571,250.28571428571428,253.71428571428572
2148,5.833333333333333,250.33333333333334,12.833333333333334
2149,0.25,255.0,2.75
2150,0.75,253.5,2.25
2151,4.75,249.0,13.75
2152,4.75,250.0,10.5
2153,14.0,123.75,89.5
2154,11.076923076923077,197.3846153846154,45.92307692307692
2155,20.666666666666668,184.33333333333334,67.33333333333333
2156,5.5,83.5,112.5
2157,5.0,78.33333333333333,137.16666666666666
2158,29.0,203.16666666666666,81.16666666666667
2159,58.25,189.25,149.25
2160,14.75,45.125,52.0
2179,109.5,205.5,224.0
2180,15.666666666666666,137.0,81.33333333333333
2181,8.4,245.8,23.4
2182,0.0,110.0,48.25
2183,32.666666666666664,224.0,76.33333333333333
2184,28.6,241.2,252.2
2185,37.714285714285715,236.0,254.57142857142858
2186,21.8,244.6,252.2
2187,8.166666666666666,76.33333333333333,134.66666666666666
2188,75.75,217.75,254.25
2189,25.77777777777778,223.55555555555554,239.77777777777777
2207,0.0,8.5,6.75
2208,3.0,79.33333333333333,125.0
2209,12.6,71.8,135.0
2210,15.666666666666666,71.5,136.0
2211,23.4,234.6,52.0
2212,14.0,241.5,28.833333333333332
2213,11.8,245.0,22.6
2214,4.75,252.75,6.5
2215,16.4,71.3,130.9
2216,5.5,81.0,108.5
2217,4.0,251.33333333333334,8.833333333333334
2218,25.0,231.0,60.0
2219,7.4,250.8,253.0
2220,0.75,254.75,251.75
2221,5.0,253.0,253.5
2222,27.333333333333332,241.5,251.66666666666666
2223,17.25,245.25,254.25
2224,19.5,244.75,254.25
2225,24.25,243.0,255.0
2226,24.833333333333332,242.5,252.0
2227,2.6,84.2,136.2
2228,16.4,146.2,76.4
2229,14.5,205.5,41.666666666666664
2230,0.25,254.0,8.25
2231,1.5,253.33333333333334,3.1666666666666665
2232,28.0,228.66666666666666,59.0
2233,5.0,87.4,95.2
2234,13.214285714285714,137.0,96.42857142857143
2235,11.181818181818182,216.8181818181818,32.63636363636363
2236,1.8571428571428572,82.28571428571429,133.42857142857142
2237,0.0,96.5,135.5
2238,26.375,223.0,238.375
2239,25.272727272727273,56.36363636363637,66.18181818181819
2257,23.0,232.66666666666666,51.0
2258,13.25,163.75,65.25
2259,0.0,92.6,81.4
2260,0.0,96.2,138.4
2261,37.0,236.5,254.0
2262,0.0,102.5,65.0
2263,16.5,69.5,137.5
2264,3.4285714285714284,250.85714285714286,11.428571428571429
2265,1.3333333333333333,84.5,128.83333333333334
2266,55.5,227.5,253.5
2267,75.5,215.0,247.0
2268,0.0,95.0,103.0
2285,0.6666666666666666,24.166666666666668,6.333333333333333
2286,1.0,99.5,58.5
2287,6.5,78.0,111.5
2288,19.833333333333332,68.5,137.83333333333334
2289,13.25,72.0,131.75
2290,8.0,81.66666666666667,113.0
2291,26.666666666666668,123.33333333333333,107.66666666666667
2292,38.25,221.0,81.25
2293,0.0,100.33333333333333,78.0
2294,0.0,93.5,83.0
2295,11.125,228.5,26.125
2296,3.1666666666666665,253.66666666666666,5.333333333333333
2297,4.0,84.0,106.66666666666667
2298,37.0,221.0,83.0
2299,3.3333333333333335,251.0,9.666666666666666
2300,27.5,230.0,60.0
2301,46.5,233.0,254.0
2302,10.0,250.0,253.57142857142858
